"%s Item(s)","%s Artikal(a)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Account", "Korisnički račun"
"About the calendar","O kalendaru"
"Click <a href=""%s"">here</a> if nothing has happened","Kliknite <a href=""%s"">ovdje</a> ako se ništa nije desilo"
"Close","Zatvori"
"Close Window","Zatvori prozor"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Odabir datuma:"
"Default Description","Standardni opis"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Prvo prikaži %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Pomozite nam da Magento održimo zdravim"
"Interface Language","Jezik sučelja"
"Items %s to %s of %s total","Artikli %s za %s od %s ukupno"
"Next Page","Sljedeća stranica"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Stranica:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Prethodna stranica"
"Redirecting...","Redirecting..."
"Report All Bugs","Prijavi sve greške"
"Select Store","Odaberite dućan"
"Select date","Odaberite datum"
"Show","Prikaži"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skoči na lijevi stupac"
"Skip to Main Content","Skoči na glavni sadržaj"
"Skip to Right Column","Skoči na desni stupac"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ovo je demo webshop. Narudžbe napravljene u ovom webshopu neće biti uvažene niti provedene."
"Time selection:","Odabir vremena:"
"Time:","Vrijeme:"
"Welcome, %s!","Dobrodošli, %s!"
"You're currently on:","Trenutno ste na:"
"Your Language","Vaš jezik"
"Your Language:","Your Language:"
"per page","po stranici"
"(ver. %s)","(ver. %s)"
